Plan,Purpose,Levy,LEVIED,LEVIED Description,PAID,PAID Description,WIK CREDIT,WIK Description,BALANCE,Application ID,Application Description,Short Description,Lots,DECISION,Approval Date,Approval Year,APPLICATION_NO,RAM_PROCESS_CTR,locality,legal_description,formatted_address,Determined By,TR TYPE,CHARGE_TYPE,Initial Balance,Charge Amount,Amount,CHARGE_CTR,Reference
S94-22,Roads,S94-22 - Cycleways,480,0,,,,,0,DA15/0982,two lot subdivision,two lot subdivision,2,Approved,2016-02-25,2016,683360,683360,CASUARINA,Lot 48 DP 1182599,89 Laceflower Parade CASUARINA NSW 2487,Council,LEVIED,Shirewid22,480,480,480,7555248,
S94-18,Other,S94-18 - Council Admin/Support Facilities,250.92,0,,,,,0,DA16/0513,change of use to dual use shop top housing and serviced apartments,change of use to dual use shop top housing and serviced apar,1,Approved,2016-11-03,2016,708913,708913,TWEED HEADS,Lot 23 SP 79995,23/14-18 Stuart Street TWEED HEADS NSW 2485,Council,LEVIED,Shirewide,250.92,250.92,250.92,8110124,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),3451,0,,,,,3451,DA21/0806,detached dual occupancy,detached dual occupancy,2,Approved,2022-12-09,2022,909295,909295,TERRANORA,Lot 2 DP 1264394,77 Henry Lawson Drive TERRANORA NSW 2486,Council,LEVIED,StrucOS_26,3451,3451,3451,12822384,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),1246,0,,,,,0,DA21/0977,detached two storey dual occupancy,detached two storey dual occupancy,2,Approved,2022-12-16,2022,916688,916688,BOGANGAR,Lot 9 DP 247427,9 Cooley Street BOGANGAR NSW 2488,Council,LEVIED,ComFac15,1246,1246,1246,12829622,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-203,0,,,0,DA18/0255,use of existing alterations and proposed alteration to convert garage to bedroom and bathroom/laundry within a unit,use of existing alterations and proposed alteration to conve,1,Approved,2018-07-12,2018,773651,773651,BANORA POINT,Lot 47 SP 35452,47/3-19 Amaroo Drive BANORA POINT NSW 2486,Council,PAID,CasOS_26,203,203,-203,9669613,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),2610,"DA15/0979 (as per S96 dated 30/6/2017) AM,DA15/0979 (as per recalc 8/7/19)JT",,,,,0,DA15/0979,two lot subdivision,two lot subdivision,2,Approved,2016-03-02,2016,683343,683343,BILAMBIL HEIGHTS,Lot 2 DP 1034976,36 Walmsleys Road BILAMBIL HEIGHTS NSW 2486,Council,LEVIED,StrucOS_26,2610,2610,2610,7564637,"DA15/0979 (as per S96 dated 30/6/2017) AM,DA15/0979 (as per recalc 8/7/19)JT"
S94-13,Other,S94-13 - Eviron Cemetery,95,0,,,,,0,DA18/0005,detached dual occupancy,detached dual occupancy,1,Approved,2018-06-28,2018,764723,764723,KINGSCLIFF,"Lot 1 DP 1258055
Being Lots 1-2 SP 100835",21 Boomerang Street KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt13,95,95,95,9345549,
S94-22,Roads,S94-22 - Cycleways,492,"DA15/0903 (stage 1),DA15/0903 (stage 2),DA15/0903 (Stg 2 as per recalc 17/5/2019) AM",,,,,132,DA15/0903,dual occupancy in 2 stages,dual occupancy in 2 stages,2,Approved,2016-06-20,2016,680749,680749,MURWILLUMBAH,"Lot 108 DP 1142485
Being Lots 1-2 SP 99686",7 Woodgee Street MURWILLUMBAH NSW 2484,Council,LEVIED,Shirewid22,132,132,492,7666089,"DA15/0903 (stage 1),DA15/0903 (stage 2),DA15/0903 (Stg 2 as per recalc 17/5/2019) AM"
S94-13,Other,S94-13 - Eviron Cemetery,320,"DA16/0526 (Stage 1) SH,DA16/0526 (Stage 2) SH,DA16/0526 (Stg 1 as per recalc 19/6/18) AM,DA16/0526 (Stg 1 as per recalc 26/7/18) AM",,,,,219,DA16/0526,multi-dwelling housing development comprising 4 townhouses in 2 stages,multi-dwelling housing development comprising 4 townhouses i,4,Approved,2017-02-14,2017,709392,709392,BANORA POINT,"Lot 607 DP 792534
Being Lots 1-3 SP 101534",102 Ash Drive BANORA POINT NSW 2486,Council,LEVIED,ResDevt13,320,320,320,8221284,"DA16/0526 (Stage 1) SH,DA16/0526 (Stage 2) SH,DA16/0526 (Stg 1 as per recalc 19/6/18) AM,DA16/0526 (Stg 1 as per recalc 26/7/18) AM"
S94-11,Community Facilities,S94-11 - Library Facilities,,,-881,0,,,0,DA21/0411,"alterations and additions to an existing dwelling (demolition of garage, construction of carport & minor internal alterations), construction of new two storey dwelling (to create detached dual occupancy) with swimming pool; and strata subdivision",alterations and additions to an existing dwelling (demolitio,1,Approved,2022-06-16,2022,897223,897223,KINGSCLIFF,Lot 23 DP 249874,12 Shell Street KINGSCLIFF NSW 2487,Council,PAID,ResDevt11,881,881,-881,12328329,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-444.18,0,,,0,DA18/0750,2 lot subdivision,2 lot subdivision,2,Approved,2019-02-15,2019,791133,791133,SMITHS CREEK,Lot 4 DP 255027,131 Smiths Creek Road SMITHS CREEK NSW 2484,Council,PAID,CasualOS_5,444.18,444.18,-444.18,9887546,
S94-22,Roads,S94-22 - Cycleways,,,-263,0,,,0,DA16/0764,alterations and additions to existing dual occupancy development to create multi-dwelling housing (comprised three (3) dwellings) and associated works,alterations and additions to existing dual occupancy develop,1,Approved,2017-04-05,2017,719968,719968,POTTSVILLE,Lot 2 DP 615444,9 Elizabeth Street POTTSVILLE NSW 2489,Council,PAID,Shirewid22,263,263,-263,8282609,
S94-15,Community Facilities,S94-15 - Community Facilities (Shirewide),,,-1457,0,,,0,DA17/0348,construction of new dwelling to create detached dual occupancy,construction of new dwelling to create detached dual occupan,1,Approved,2017-10-30,2017,744042,744042,TERRANORA,Lot 8 DP 804521,15 Federation Drive TERRANORA NSW 2486,Council,PAID,ComFac15,1457,1457,-1457,9100456,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),65186,0,,,,,65186,DA20/0468,"new generation boarding house, comprising 27 self-contained rooms (plus a manager's unit)","new generation boarding house, comprising 27 self-contained ",1,Approved,2021-09-07,2021,858768,858768,TWEED HEADS,Lot 89 DP 237806,6 Florence Place TWEED HEADS NSW 2485,Council,LEVIED,StrucOS_26,65186,65186,65186,12050458,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-1193.01,0,,,0,DA21/0655,two lot subdivision,two lot subdivision,2,Approved,2021-12-16,2021,905201,905201,BOGANGAR,Lot 21 DP 1273771,14 Kanooka Crescent BOGANGAR NSW 2488,Council,PAID,CasOS_26,1193.01,1193.01,-1193.01,12153501,
S94-22,Roads,S94-22 - Cycleways,490,0,,,,,0,DA17/0817,"demolition of existing dwelling, proposed development and strata subdivision of dual occupancy and swimming pool","demolition of existing dwelling, proposed development and st",1,Approved,2018-06-14,2018,761199,761199,POTTSVILLE,"Lot 1 DP 1255520
Being Lots 1-2 SP 101284",92 Elanora Avenue POTTSVILLE NSW 2489,Council,LEVIED,Shirewid22,490,490,490,9336045,
S94-22,Roads,S94-22 - Cycleways,,,-5966,0,,,0,DA17/0231,"residential flat building, swimming pool, demolition of existing dwelling and tree removal","residential flat building, swimming pool, demolition of exis",1,Approved,2018-06-29,2018,739012,739012,KINGSCLIFF,"Lot 74 DP 1268010
Being Lots 1-14 SP 102299",74 Pearl Street KINGSCLIFF NSW 2487,Council,PAID,Shirewid22,5966,5966,-5966,9348491,
S94-12,Roads,S94-12 - Bus Shelters,,,-67,0,,,0,DA21/0646,attached dual occupancy,attached dual occupancy,1,Approved,2022-05-27,2022,904902,904902,CASUARINA,Lot 62 DP 1264557,10 Black Wattle Circuit CASUARINA NSW 2487,Council,PAID,Over10ET,67,67,-67,12308441,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-755,0,,,0,DA21/0200,detached dual occupancy,detached dual occupancy,2,Approved,2021-11-24,2021,888757,888757,TERRANORA,Lot 7 DP 1264394,87 Henry Lawson Drive TERRANORA NSW 2486,Council,PAID,ResDevt11,755,755,-755,12132262,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-6285.84,0,,,0,DA16/0011,"demolition of existing shed, multi dwelling housing development and five lot strata subdivision","demolition of existing shed, multi dwelling housing developm",5,Approved,2016-09-12,2016,687646,687646,KINGSCLIFF,Lot 1 DP 1265120,11 Boomerang Street KINGSCLIFF NSW 2487,Council,PAID,Shirewide,6285.84,6285.84,-6285.84,8043086,
S94-11,Community Facilities,S94-11 - Library Facilities,1007,0,,,,,0,DA20/0079,attached dual occupancy and two swimming pools,attached dual occupancy and two swimming pools,2,Approved,2020-09-11,2020,843630,843630,KINGSCLIFF,"Lot 3 DP 1251576
Being Lots 1-2 SP 105856",54 Cylinders Drive KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt11,1007,1007,1007,11371455,
S94-05,Open Space,S94-05 - Structured Open Space (Local),656,0,,,,,656,DA22/0452,two lot subdivision,two lot subdivision,2,Approved,2023-01-20,2023,940169,940169,BANORA POINT,Lot 10 DP 559683,5A Peter Street BANORA POINT NSW 2486,Council,LEVIED,StructOS_5,656,656,656,12856226,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),,,-13994,0,,,0,DA20/0047,"multi dwelling housing comprising five (5) dwellings, including tree removal","multi dwelling housing comprising five (5) dwellings, includ",5,Approved,2020-08-12,2020,841650,841650,TWEED HEADS,Lot 2 Sec 1 DP 10803,6 Margaret Street TWEED HEADS NSW 2485,Council,PAID,StrucOS_26,13994,13994,-13994,11344744,
S94-05,Open Space,S94-05 - Structured Open Space (Local),437.32,"DA15/0979 (as per S96 dated 30/6/2017) AM,DA15/0979 (as per recalc 8/7/19)JT",,,,,0,DA15/0979,two lot subdivision,two lot subdivision,2,Approved,2016-03-02,2016,683343,683343,BILAMBIL HEIGHTS,Lot 2 DP 1034976,36 Walmsleys Road BILAMBIL HEIGHTS NSW 2486,Council,LEVIED,StructOS_5,437.32,437.32,437.32,7564645,"DA15/0979 (as per S96 dated 30/6/2017) AM,DA15/0979 (as per recalc 8/7/19)JT"
S94-11,Community Facilities,S94-11 - Library Facilities,,,-652,0,,,0,DA17/0492,dual occupancy (attached) and a two lot strata subdivision,dual occupancy (attached) and a two lot strata subdivision,2,Approved,2018-04-18,2018,749502,749502,KINGSCLIFF,"Lot 16 DP 1253442
Being Lots 1-2 SP 99518",16 Kingscliff Street KINGSCLIFF NSW 2487,Council,PAID,ResDevt11,652,652,-652,9274449,
S94-26,Open Space,S94-26 - Structured Open Space (Regional),7744,"DA14/0851 (Stg 2a),DA14/0851 (Stg 2b)",,,,,7744,DA14/0851,"establishment of Veterinary Hospital, landscaping supplies and two caretakers residencies - staged development","establishment of Veterinary Hospital, landscaping supplies a",1,Approved,2015-04-29,2015,646359,646359,PIGGABEEN,Lots 182 470 DP 755740 Lot 1 DP 113331,465 Piggabeen Road PIGGABEEN NSW 2486,Council,LEVIED,StrucOS_26,7744,7744,7744,6967369,"DA14/0851 (Stg 2a),DA14/0851 (Stg 2b)"
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-2123,0,,,0,DA17/0111,"three unit townhouse development (1 x 3 bedroom, 2 x 4 bedroom)","three unit townhouse development (1 x 3 bedroom, 2 x 4 bedro",3,Approved,2017-10-24,2017,733799,733799,KINGSCLIFF,"Lot 10 DP 1254565
Being Lots 1-3 SP 99738",64 Pearl Street KINGSCLIFF NSW 2487,Council,PAID,CasOS_26,2123,2123,-2123,9097403,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-248.65,0,,,0,DA17/0073,alterations and additions to existing brewery,alterations and additions to existing brewery,1,Approved,2017-05-15,2017,732269,732269,SOUTH MURWILLUMBAH,Lot 207 DP 1122768,35-37 Kite Crescent SOUTH MURWILLUMBAH NSW 2484,Council,PAID,Shirewide,248.65,248.65,-248.65,8320440,
S94-04,Roads,S94-04 - Road Contribution Sector 11,,,-5088,0,,,0,DA20/0300,change of use of existing shed to agricultural produce industry (distillery),change of use of existing shed to agricultural produce indus,1,Approved,2020-09-15,2020,853418,853418,CUDGERA CREEK,Lot 1 DP 733628,715 Cudgera Creek Road CUDGERA CREEK NSW 2484,Council,PAID,Sector11_4,5088,5088,-5088,11377476,
S94-05,Open Space,S94-05 - Structured Open Space (Local),,,-693.9,0,,,6925.8,DA17/0836,staged development: two lot subdivision (stage 1) and 12 lot community title subdivision (stage 2) and associated civil works,staged development: two lot subdivision (stage 1) and 12 lot,13,Approved,2019-02-13,2019,761736,761736,BOGANGAR,Lot 12 DP 1208402,79 Tamarind Avenue BOGANGAR NSW 2488,Council,PAID,StructOS_5,7618.38,7618.38,-693.9,9887329,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-1184.77,0,,,0,DA17/0634,"proposed conversion of an existing managers residence to permanent dwelling site, fence to Lot 336, alterations and additions to existing administration building/office (use only as works have already been done without development consent) and an extension to community building (use only as works have already been done without development consent) within an existing manufactured home estate",proposed conversion of an existing managers residence to per,1,Approved,2018-08-10,2018,755154,755154,TWEED HEADS WEST,Lot 1 DP 860569,192 Piggabeen Road TWEED HEADS WEST NSW 2485,Council,PAID,Shirewide,1184.77,1184.77,-1184.77,9700951,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-3933,0,,,0,DA19/0101,four townhouses,four townhouses,4,Approved,2019-11-08,2019,805112,805112,TWEED HEADS,Lot 11 DP 1288215,5 First Avenue TWEED HEADS NSW 2485,Council,PAID,CasOS_26,3933,3933,-3933,10771966,
S94-12,Roads,S94-12 - Bus Shelters,,,-624,0,,,0,DA15/0726,demolition of existing structures and the construction of a residential flat building comprising 13 units,demolition of existing structures and the construction of a ,13,Approved,2016-07-07,2016,675091,675091,TWEED HEADS,"Lot 24 DP 1285565
Being Lots 1-13 SP 105041",Ayana 24 McGregor Crescent TWEED HEADS NSW 2485,Council,PAID,Over10ET,624,624,-624,7683026,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-1007,0,,,0,DA20/0653,detached dual occupancy,detached dual occupancy,2,Approved,2020-12-16,2020,864121,864121,MURWILLUMBAH,"Lot 714 DP 1263014
Being Lots 1-2 SP 104105",20 Sorrel Court MURWILLUMBAH NSW 2484,Council,PAID,ResDevt11,1007,1007,-1007,11462172,
S94-22,Roads,S94-22 - Cycleways,482.8,0,,,,,0,DA22/0045,two lot subdivision,two lot subdivision,2,Approved,2022-06-07,2022,921397,921397,BANORA POINT,Lot 2 DP 521256,10 Seaview Road BANORA POINT NSW 2486,Council,LEVIED,Shirewid22,482.8,482.8,482.8,12321644,
S94-18,Other,S94-18 - Council Admin/Support Facilities,2683.61,0,,,,,2683.61,DA20/0794,establishment of storage premises (self storage units) and advertising,establishment of storage premises (self storage units) and a,1,Approved,2021-03-01,2021,868994,868994,TWEED HEADS,Lot 668 DP 755740,65-67 Ourimbah Road TWEED HEADS NSW 2485,Council,LEVIED,Shirewide,2683.61,2683.61,2683.61,11541621,
S94-12,Roads,S94-12 - Bus Shelters,,,-503,0,,,0,DA16/0772,townhouse development comprising 12 units,townhouse development comprising 12 units,12,Approved,2017-04-05,2017,720248,720248,TWEED HEADS,Lot 12 DP 25770,6 Stanley Street TWEED HEADS NSW 2485,Council,PAID,Over10ET,503,503,-503,8282627,
S94-11,Community Facilities,S94-11 - Library Facilities,2463,0,,,,,0,DA19/0450,"multi dwelling housing (four (4) detached residential dwellings), and strata subdivision",multi dwelling housing (four (4) detached residential dwelli,4,Approved,2020-01-24,2020,822584,822584,KINGSCLIFF,"Lot 47 DP 1269131 
Being Lots 1-4 SP 102447",47 Kingscliff Street KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt11,2463,2463,2463,10842485,
S94-05,Open Space,S94-05 - Casual Open Space (Local),,,-419,0,,,0,DA14/0763,dual occupancy (attached),dual occupancy (attached),2,Approved,2015-02-17,2015,642933,642933,KINGSCLIFF,Lot 32 DP 21680,52 Sutherland Street KINGSCLIFF NSW 2487,Council,PAID,CasualOS_5,413,419,-419,6904269,
S94-11,Community Facilities,S94-11 - Library Facilities,,,-3221,0,,,0,DA16/0450,multi dwelling housing (six townhouses) and associated earthworks,multi dwelling housing (six townhouses) and associated earth,6,Approved,2016-12-05,2016,705797,705797,TWEED HEADS,Lot 1 DP 1235246,14 Margaret Street TWEED HEADS NSW 2485,Council,PAID,ResDevt11,3221,3221,-3221,8146269,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-551,0,,,0,DA15/0980,8 town houses,8 town houses,8,Approved,2017-02-24,2017,683344,683344,TWEED HEADS,Lot 22 Sec 1 DP 8568,45 Recreation Street TWEED HEADS NSW 2485,Council,PAID,CasOS_26,551,551,-551,8234227,
S94-18,Other,S94-18 - Council Admin/Support Facilities,,,-5467.3,0,,,12342.17,DA18/0884,"staged proposal consisting of warehouse or distribution centre, light industry, industrial retail outlet and ancillary office premises and electricity generating works (solar energy system); and additional works (NRPP)",staged proposal consisting of warehouse or distribution cent,1,Approved,2019-03-01,2019,794460,794460,TWEED HEADS WEST,Lot 10 DP 1084319,1 Wollemi Place TWEED HEADS WEST NSW 2485,Council,PAID,Shirewide,17738.58,17738.58,-5467.3,9904837,
S94-11,Community Facilities,S94-11 - Library Facilities,2463,DA18/0470 (as per recalc 13/5/20) AM,,,,,0,DA18/0470,"demolition of existing building on site, excavation to establish garage and vehicle manoeuvring area and erection of multi-dwelling housing comprising four townhouses","demolition of existing building on site, excavation to estab",1,Approved,2018-10-30,2018,781501,781501,KINGSCLIFF,Lot 16 Sec 9 DP 758571,119 Kingscliff Street KINGSCLIFF NSW 2487,Council,LEVIED,ResDevt11,2463,2463,2463,9789230,DA18/0470 (as per recalc 13/5/20) AM
S94-26,Open Space,S94-26 - Structured Open Space (Regional),23580,DA18/0320 (as per recalc) KLM,,,,,0,DA18/0320,residential flat building including demolition of existing structures,residential flat building including demolition of existing s,1,Approved,2018-12-13,2018,776018,776018,KINGSCLIFF,Lot 10 Sec 3 DP 758571,178 Marine Parade KINGSCLIFF NSW 2487,Council,LEVIED,StrucOS_26,23580,23580,23580,9831518,DA18/0320 (as per recalc) KLM
S94-04,Roads,S94-04 - Road Contribution Sector 02,1820,0,,,,,0,DA17/0054,"demolition of shed, construction of second dwelling to create an attached dual occupancy, carport, use of existing garage for a bedroom and  strata subdivision","demolition of shed, construction of second dwelling to creat",1,Approved,2017-05-11,2017,731426,731426,TWEED HEADS SOUTH,Lot 8 DP 258723,82 Blundell Boulevard TWEED HEADS SOUTH NSW 2486,Council,LEVIED,Sector2_4,1820,1820,1820,8320037,
S94-11,Community Facilities,S94-11 - Library Facilities,1396,0,,,,,0,DA16/0448,farm stay accommodation,farm stay accommodation,1,Approved,2016-10-25,2016,705661,705661,BYANGUM,Lot 11 DP 835413,2 Boulder Close BYANGUM NSW 2484,Council,LEVIED,ResDevt11,1396,1396,1396,8095670,
S94-12,Roads,S94-12 - Bus Shelters,50,DA14/0763 (as per re-calc) SH,,,,,0,DA14/0763,dual occupancy (attached),dual occupancy (attached),2,Approved,2015-02-17,2015,642933,642933,KINGSCLIFF,Lot 32 DP 21680,52 Sutherland Street KINGSCLIFF NSW 2487,Council,LEVIED,Over10ET,48,50,50,6904272,DA14/0763 (as per re-calc) SH
S94-26,Open Space,S94-26 - Casual Open Space (Regional),,,-970,0,,,0,DA16/0015,dual occupancy (detached) and 2 lot strata subdivision,dual occupancy (detached) and 2 lot strata subdivision,2,Approved,2016-04-15,2016,687965,687965,MURWILLUMBAH,"Lot 1 DP 1249663
Being Lots 1-2 SP 102045",31 Tweed Street MURWILLUMBAH NSW 2484,Council,PAID,CasOS_26,970,970,-970,7598626,
S94-26,Open Space,S94-26 - Casual Open Space (Regional),849,0,,,,,849,DA17/0854,change of use from dwelling and secondary dwelling to detached dual occupancy and two lot strata subdivision,change of use from dwelling and secondary dwelling to detach,2,Approved,2018-05-07,2018,762147,762147,POTTSVILLE,Lot 57 DP 263729,23 Royal Drive POTTSVILLE NSW 2489,Council,LEVIED,CasOS_26,849,849,849,9291115,
